locality,canton
Wintersingen,Bâle-Campagne
Wisen SO,Bâle-Campagne
Wittinsburg,Bâle-Campagne
Zeglingen,Bâle-Campagne
Ziefen,Bâle-Campagne
Zunzgen,Bâle-Campagne
Zwingen,Bâle-Campagne
Basel,Bâle-Ville
Bettingen,Bâle-Ville
Riehen,Bâle-Ville
Abländschen,Fribourg
Agriswil,Fribourg
Albeuve,Fribourg
Alterswil FR,Fribourg
Arconciel,Fribourg
Attalens,Fribourg
Auboranges,Fribourg
Aumont,Fribourg
Autafond,Fribourg
Autavaux,Fribourg
Autigny,Fribourg
Avenches,Fribourg
Avry-devant-Pont,Fribourg
Avry-sur-Matran,Fribourg
Barberêche,Fribourg
Belfaux,Fribourg
Berlens,Fribourg
Besencens,Fribourg
Billens,Fribourg
Bionnens,Fribourg
Blessens,Fribourg
Bollion,Fribourg
Bonnefontaine,Fribourg
Bossonnens,Fribourg
Botterens,Fribourg
Bouloz,Fribourg
Bourguillon,Fribourg
Broc,Fribourg
Brünisried,Fribourg
Bulle,Fribourg
Bussy FR,Fribourg
Bösingen,Fribourg
Büchslen,Fribourg
Cerniat FR,Fribourg
Chandon,Fribourg
Chapelle (Broye),Fribourg
Chapelle (Glâne),Fribourg
Charmey (Gruyère),Fribourg
Chavannes-les-Forts,Fribourg
Chavannes-sous-Orsonnens,Fribourg
Cheiry,Fribourg
Cheyres,Fribourg
Châbles FR,Fribourg
Châtel-St-Denis,Fribourg
Châtel-sur-Montsalvens,Fribourg
Châtillon FR,Fribourg
Châtonnaye,Fribourg
Chénens,Fribourg
Chésopelloz,Fribourg
Clavaleyres,Fribourg
Corbières,Fribourg
Corcelles-près-Payerne,Fribourg
Cordast,Fribourg
Corjolens,Fribourg
Cormagens,Fribourg
Corminboeuf,Fribourg
Cormérod,Fribourg
Corpataux,Fribourg
Corserey,Fribourg
Cottens FR,Fribourg
Courgevaux,Fribourg
Courlevon,Fribourg
Cournillens,Fribourg
Courtaman,Fribourg
Courtepin,Fribourg
Courtion,Fribourg
Cousset,Fribourg
Cressier FR,Fribourg
Crésuz,Fribourg
Cugy FR,Fribourg
Delley,Fribourg
Domdidier,Fribourg
Dompierre FR,Fribourg
Düdingen,Fribourg
Echarlens,Fribourg
Ecublens FR,Fribourg
Ecuvillens,Fribourg
Enney,Fribourg
Epagny,Fribourg
Ependes FR,Fribourg
Esmonts,Fribourg
Essert FR,Fribourg
Estavannens,Fribourg
Estavayer-le-Gibloux,Fribourg
